country,type,date,demand
AT,power,2020-08-25,35582600.0
AT,power,2020-08-26,33645800.0
AT,power,2020-08-27,33849600.0
AT,power,2020-08-28,20108800.0
AT,power,2020-08-29,21680000.0
AT,power,2020-08-30,19947000.0
AT,power,2020-08-31,19702600.0
AT,power,2020-09-01,29765399.999999996
AT,power,2020-09-02,20970600.000000004
AT,power,2020-09-03,21553800.0
AT,power,2020-09-04,21198800.0
AT,power,2020-09-05,18512400.0
AT,power,2020-09-06,18749800.0
AT,power,2020-09-07,22563200.0
AT,power,2020-09-08,21293400.0
AT,power,2020-09-09,21706800.0
AT,power,2020-09-10,24918400.0
AT,power,2020-09-11,21249400.0
AT,power,2020-09-12,19492800.0
AT,power,2020-09-13,19070400.0
AT,power,2020-09-14,24545600.0
AT,power,2020-09-15,28932400.0
AT,power,2020-09-16,61492200.0
AT,power,2020-09-17,36347200.00000001
AT,power,2020-09-18,26576200.0
AT,power,2020-09-19,28825200.0
AT,power,2020-09-20,23604400.0
AT,power,2020-09-21,22548000.0
AT,power,2020-09-22,21775800.0
AT,power,2020-09-23,46672800.0
AT,power,2020-09-24,58483600.0
AT,power,2020-09-25,22752600.0
AT,power,2020-09-26,21572200.0
AT,power,2020-09-27,21352600.0
AT,power,2020-09-28,21642600.0
AT,power,2020-09-29,22040000.0
AT,power,2020-09-30,22098000.0
AT,power,2020-10-01,35677200.0
AT,power,2020-10-02,36455800.0
AT,power,2020-10-03,15050600.0
AT,power,2020-10-04,5439000.0
AT,power,2020-10-05,43754400.0
AT,power,2020-10-06,60428200.0
AT,power,2020-10-07,62742600.0
AT,power,2020-10-08,48866600.0
AT,power,2020-10-09,67228600.0
AT,power,2020-10-10,36519600.0
AT,power,2020-10-11,30628800.0
AT,power,2020-10-12,55926800.0
AT,power,2020-10-13,68948800.0
AT,power,2020-10-14,92969400.0
AT,power,2020-10-15,65320600.0
AT,power,2020-10-16,47830200.0
AT,power,2020-10-17,47132600.0
AT,power,2020-10-18,46577800.0
AT,power,2020-10-19,49882800.0
AT,power,2020-10-20,58471600.0
AT,power,2020-10-21,67959600.0
AT,power,2020-10-22,77442200.0
AT,power,2020-10-23,70251600.0
AT,power,2020-10-24,31164400.0
AT,power,2020-10-25,23662600.0
AT,power,2020-10-26,56783600.0
AT,power,2020-10-27,65253000.0
AT,power,2020-10-28,63801600.0
AT,power,2020-10-29,60904000.0
AT,power,2020-10-30,65205200.0
AT,power,2020-10-31,53505000.0
AT,power,2020-11-01,15175800.0
AT,power,2020-11-02,62866600.0
AT,power,2020-11-03,62041800.0
AT,power,2020-11-04,46762600.0
AT,power,2020-11-05,50817200.0
AT,power,2020-11-06,54601200.0
AT,power,2020-11-07,51806800.0
AT,power,2020-11-08,58734400.0
AT,power,2020-11-09,78768800.0
AT,power,2020-11-10,81956200.0
AT,power,2020-11-11,92620200.0
AT,power,2020-11-12,76451600.0
AT,power,2020-11-13,90311400.0
AT,power,2020-11-14,84810400.0
AT,power,2020-11-15,56746200.0
AT,power,2020-11-16,93749000.0
AT,power,2020-11-17,100152400.0
AT,power,2020-11-18,102910400.0
AT,power,2020-11-19,82142400.0
AT,power,2020-11-20,60324200.0
AT,power,2020-11-21,87535000.0
AT,power,2020-11-22,75868600.0
AT,power,2020-11-23,114522600.0
AT,power,2020-11-24,111739200.0
AT,power,2020-11-25,103675000.0
AT,power,2020-11-26,99259200.0
AT,power,2020-11-27,106488800.0
AT,power,2020-11-28,80456200.0
AT,power,2020-11-29,81407600.0
AT,power,2020-11-30,105033400.0
AT,power,2020-12-01,120205000.0
AT,power,2020-12-02,109633800.0
AT,power,2020-12-03,155231000.0
AT,power,2020-12-04,92251600.0
AT,power,2020-12-05,77686800.0
AT,power,2020-12-06,71147800.0
AT,power,2020-12-07,87014800.0
AT,power,2020-12-08,100675800.0
AT,power,2020-12-09,106801000.0
AT,power,2020-12-10,106218600.0
