Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
19/02/2025 00:00:00,19/02/2025,"NTS Energy Offtaken, Powerstations Total",474104063,24/02/2025 12:01:01,A
18/02/2025 00:00:00,18/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",33571586,20/02/2025 14:01:00,A
18/02/2025 00:00:00,18/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2412374917,20/02/2025 14:01:00,A
18/02/2025 00:00:00,18/02/2025,"NTS Energy Offtaken, Powerstations Total",497004839,20/02/2025 12:01:00,A
17/02/2025 00:00:00,17/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",43888828,20/02/2025 16:01:00,A
17/02/2025 00:00:00,17/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2518095871,19/02/2025 14:01:01,A
17/02/2025 00:00:00,17/02/2025,"NTS Energy Offtaken, Powerstations Total",769467512,19/02/2025 12:01:01,A
16/02/2025 00:00:00,16/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",33951488,20/02/2025 16:01:00,A
16/02/2025 00:00:00,16/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2305730536,18/02/2025 14:01:01,A
16/02/2025 00:00:00,16/02/2025,"NTS Energy Offtaken, Powerstations Total",466173942,17/02/2025 16:01:00,A
15/02/2025 00:00:00,15/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",43841095,20/02/2025 16:01:00,A
15/02/2025 00:00:00,15/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2274674914,17/02/2025 16:01:00,A
15/02/2025 00:00:00,15/02/2025,"NTS Energy Offtaken, Powerstations Total",703744921,19/02/2025 12:01:01,A
14/02/2025 00:00:00,14/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",66453207,16/02/2025 12:01:00,A
14/02/2025 00:00:00,14/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2433234371,17/02/2025 16:01:00,A
14/02/2025 00:00:00,14/02/2025,"NTS Energy Offtaken, Powerstations Total",870363025,17/02/2025 16:01:00,A
13/02/2025 00:00:00,13/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",57560212,14/02/2025 14:01:01,A
13/02/2025 00:00:00,13/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2444735956,17/02/2025 14:01:00,A
13/02/2025 00:00:00,13/02/2025,"NTS Energy Offtaken, Powerstations Total",905493081,17/02/2025 16:01:00,A
12/02/2025 00:00:00,12/02/2025,"NTS Energy Offtaken, Industrial Offtake Total",53540025,14/02/2025 14:01:01,A
12/02/2025 00:00:00,12/02/2025,"NTS Energy Offtaken, LDZ Offtake Total",2368574189,14/02/2025 14:01:01,A
