"Name","Location","Date","Value","Unit"
"DM","DM",2020-06-21,5894083,"kWh"
"DM","DM",2020-06-22,8247091,"kWh"
"DM","DM",2020-06-23,8366076,"kWh"
"DM","DM",2020-06-24,8238311,"kWh"
"DM","DM",2020-06-25,7834113,"kWh"
"DM","DM",2020-06-26,7491525,"kWh"
"DM","DM",2020-06-27,6047037,"kWh"
"DM","DM",2020-06-28,6054852,"kWh"
"DM","DM",2020-06-29,8559464,"kWh"
"DM","DM",2020-06-30,8695357,"kWh"
"DM","DM",2020-07-01,8683942,"kWh"
"DM","DM",2020-07-02,8445098,"kWh"
"DM","DM",2020-07-03,7966606,"kWh"
"DM","DM",2020-07-04,6167365,"kWh"
"DM","DM",2020-07-05,6055976,"kWh"
"DM","DM",2020-07-06,8490274,"kWh"
"DM","DM",2020-07-07,8815369,"kWh"
"DM","DM",2020-07-08,8708171,"kWh"
"DM","DM",2020-07-09,8479399,"kWh"
"DM","DM",2020-07-10,8036835,"kWh"
"DM","DM",2020-07-11,6129883,"kWh"
"DM","DM",2020-07-12,5790372,"kWh"
"DM","DM",2020-07-13,7941107,"kWh"
"DM","DM",2020-07-14,8436979,"kWh"
"DM","DM",2020-07-15,8110579,"kWh"
"DM","DM",2020-07-16,7953984,"kWh"
"DM","DM",2020-07-17,7722348,"kWh"
"DM","DM",2020-07-18,6110569,"kWh"
"DM","DM",2020-07-19,5908935,"kWh"
"DM","DM",2020-07-20,8142743,"kWh"
"DM","DM",2020-07-21,8217745,"kWh"
"DM","DM",2020-07-22,8294384,"kWh"
"DM","DM",2020-07-23,8192337,"kWh"
"DM","DM",2020-07-24,7700875,"kWh"
"DM","DM",2020-07-25,5880353,"kWh"
"DM","DM",2020-07-26,5513061,"kWh"
"DM","DM",2020-07-27,7744023,"kWh"
"DM","DM",2020-07-28,7676732,"kWh"
"DM","DM",2020-07-29,7766239,"kWh"
"DM","DM",2020-07-30,7734713,"kWh"
"DM","DM",2020-07-31,7169293,"kWh"
